,쿠카쿠,(주)쿠카쿠,2017-06-01,3년4개월,0,3 명
206,카페브라우니30(CAFE BROWNY30),(주)브라우니30,2016-12-20,3년10개월,3,1 명
207,소진담,소진담fnb,2018-06-01,2년4개월,3,1 명
208,콘레드커피,(주)케이디즈,2018-10-23,2년0개월,3,3 명
209,카페데베르,(주)카페데베르,2006-09-20,14년1개월,3,4 명
210,카페몽테이너,유앤아이컴퍼니,2017-06-01,3년4개월,3,1 명
211,씨이십칠(C27),(주)디앤지에프씨,2017-01-20,3년9개월,2,67 명
212,커피볶는집,(주)커피볶는집,2007-01-02,13년9개월,2,16 명
213,핸델앤그레텔,(주)핸델과그레텔,2008-06-23,12년4개월,2,11 명
214,카페보스(CAFE BOSS),(주)카페보스,2018-07-25,2년3개월,2,9 명
215,아필코(APILCO),에이피씨(주),2017-09-08,3년1개월,2,4 명
216,봉리단길,(주)가유에프엔비,2018-02-10,2년8개월,2,11 명
217,앤더스커피(anduscoffee),(주)에스엠홀딩스,2014-02-15,6년8개월,2,3 명
218,빈타이(BEAN TIE),유한회사빈타이컴퍼니,2018-01-01,2년9개월,2,7 명
219,핸즈업,(주)나우나우,2018-09-13,2년1개월,2,18 명
220,카페브루빈(cafe BREWBEAN),(주)떼루와,2018-12-27,1년10개월,2,13 명
221,비마이프렌드,(재)행복한나눔,2014-06-13,6년4개월,2,52 명
222,올리버브라운카페,(주)올리버브라운코리아,2010-04-01,10년6개월,2,7 명
223,카페아슬란,(주)아슬란,2016-04-22,4년6개월,2,8 명
224,페이버리트(FAVORITE) 커피,(주)페이버리트,2018-11-02,1년11개월,2,5 명
225,캔카페,"예스유캔에프앤비(Yes,youcanF&B)(캔카페)",2018-06-25,2년4개월,2,2 명
226,고품격 커피공장,고품격커피공장,2015-11-30,4년11개월,2,6 명
227,알엠커피(R.M COFFEE),알엠컴퍼니(R.MCOMPANY),2018-09-07,2년1개월,2,2 명
228,룰스타운(RULESTOWN),조앤장(주),2018-01-02,2년9개월,1,3 명
229,뉴욕보틀,원유통뉴욕보틀,2015-12-20,4년10개월,1,1 명
230,일리터 카페앤바,카페일리터,2016-01-18,4년9개월,1,1 명
231,LJ COFFEE,(주)라온제나,2018-12-20,1년10개월,1,3 명
232,보스커피&브런치,보스커피,2017-07-01,3년3개월,1,9 명
233,웨일즈커피(WHALES COFFEE),(주)카페홀릭,2018-11-01,1년11개월,1,5 명
234,청솔로9카페,청솔로9,2018-11-01,1년11개월,1,1 명
235,카페에이븐,(주)씨엘파미유,2018-12-25,1년10개월,1,13 명
236,Smith Barney,펩코코리아(주),2015-10-30,5년0개월,1,19 명
